timestamp,run_id,group_id,model_id,model_hash,modality,prompt_len,gen_len,image_count,image_resolution,run_index,ttft_ms,tpot_ms,total_latency_ms,tokens_s,image_preprocess_ms,vision_encode_ms,projector_ms,text_prefill_ms,actual_prompt_len,actual_gen_len,image_token_count,total_input_tokens,finish_reason,output_text,output_length,status,oom_stage,message_zh,output_nonempty,refusal_detected
2026-05-18 11:17:04,run_20260518_111702,prompt64_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,32,N/A,N/A,1,38.595,33.887,1122.982,29.51,N/A,N/A,N/A,N/A,64,32,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,146,success,none,成功,True,False
2026-05-18 11:17:06,run_20260518_111702,prompt64_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,32,N/A,N/A,2,38.568,34.08,1129.128,29.34,N/A,N/A,N/A,N/A,64,32,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,146,success,none,成功,True,False
2026-05-18 11:17:07,run_20260518_111702,prompt64_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,32,N/A,N/A,3,38.816,33.956,1125.423,29.45,N/A,N/A,N/A,N/A,64,32,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,146,success,none,成功,True,False
2026-05-18 11:17:10,run_20260518_111702,prompt64_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,64,N/A,N/A,1,38.539,33.939,2210.622,29.46,N/A,N/A,N/A,N/A,64,64,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy,290,success,none,成功,True,False
2026-05-18 11:17:12,run_20260518_111702,prompt64_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,64,N/A,N/A,2,38.796,33.576,2187.641,29.78,N/A,N/A,N/A,N/A,64,64,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy,290,success,none,成功,True,False
2026-05-18 11:17:14,run_20260518_111702,prompt64_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,64,N/A,N/A,3,38.506,33.553,2185.903,29.8,N/A,N/A,N/A,N/A,64,64,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy,290,success,none,成功,True,False
2026-05-18 11:17:19,run_20260518_111702,prompt64_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,128,N/A,N/A,1,39.368,34.212,4418.527,29.23,N/A,N/A,N/A,N/A,64,128,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,575,success,none,成功,True,False
2026-05-18 11:17:24,run_20260518_111702,prompt64_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,128,N/A,N/A,2,38.728,33.461,4321.751,29.89,N/A,N/A,N/A,N/A,64,128,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,575,success,none,成功,True,False
2026-05-18 11:17:28,run_20260518_111702,prompt64_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,64,128,N/A,N/A,3,38.496,33.62,4341.819,29.74,N/A,N/A,N/A,N/A,64,128,N/A,N/A,max_tokens, jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,575,success,none,成功,True,False
2026-05-18 11:17:30,run_20260518_111702,prompt128_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,32,N/A,N/A,1,39.548,34.134,1131.837,29.3,N/A,N/A,N/A,N/A,128,32,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.,140,success,none,成功,True,False
2026-05-18 11:17:31,run_20260518_111702,prompt128_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,32,N/A,N/A,2,39.581,34.096,1130.642,29.33,N/A,N/A,N/A,N/A,128,32,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.,140,success,none,成功,True,False
2026-05-18 11:17:32,run_20260518_111702,prompt128_gen32,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,32,N/A,N/A,3,39.13,33.772,1119.846,29.61,N/A,N/A,N/A,N/A,128,32,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog.,140,success,none,成功,True,False
2026-05-18 11:17:35,run_20260518_111702,prompt128_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,64,N/A,N/A,1,39.425,33.67,2194.329,29.7,N/A,N/A,N/A,N/A,128,64,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,285,success,none,成功,True,False
2026-05-18 11:17:37,run_20260518_111702,prompt128_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,64,N/A,N/A,2,39.411,33.826,2204.263,29.56,N/A,N/A,N/A,N/A,128,64,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,285,success,none,成功,True,False
2026-05-18 11:17:40,run_20260518_111702,prompt128_gen64,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,64,N/A,N/A,3,39.026,33.647,2192.443,29.72,N/A,N/A,N/A,N/A,128,64,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick,285,success,none,成功,True,False
2026-05-18 11:17:44,run_20260518_111702,prompt128_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,128,N/A,N/A,1,38.971,33.892,4377.164,29.51,N/A,N/A,N/A,N/A,128,128,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,576,success,none,成功,True,False
2026-05-18 11:17:49,run_20260518_111702,prompt128_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,128,N/A,N/A,2,39.195,33.742,4358.159,29.64,N/A,N/A,N/A,N/A,128,128,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,576,success,none,成功,True,False
2026-05-18 11:17:53,run_20260518_111702,prompt128_gen128,meta-llama/Llama-3.2-3B-Instruct,7b223ae5,text,128,128,N/A,N/A,3,38.71,34.093,4402.559,29.33,N/A,N/A,N/A,N/A,128,128,N/A,N/A,max_tokens, dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over the lazy dog. The quick brown fox jumps over,576,success,none,成功,True,False
